2012,Vote by Gender,SEX,OR,West,Pacific,Men,50,50,46
2012,Vote by Gender,SEX,OR,West,Pacific,Women,50,58,41
2012,Vote by Age,AGE,OR,West,Pacific,18-29,17,N/A,N/A
2012,Vote by Age,AGE,OR,West,Pacific,30-44,24,51,45
2012,Vote by Age,AGE,OR,West,Pacific,45-64,38,52,46
2012,Vote by Age,AGE,OR,West,Pacific,65 and Older,21,53,45
2012,Vote by Age,AGE65,OR,West,Pacific,18-24,9,N/A,N/A
2012,Vote by Age,AGE65,OR,West,Pacific,25-29,8,N/A,N/A
2012,Vote by Age,AGE65,OR,West,Pacific,30-39,16,47,49
2012,Vote by Age,AGE65,OR,West,Pacific,40-49,16,53,42
2012,Vote by Age,AGE65,OR,West,Pacific,50-64,30,53,45
2012,Vote by Age,AGE65,OR,West,Pacific,65 and Older,21,53,45
2012,Vote by Race,RACE,OR,West,Pacific,White,88,54,44
2012,Vote by Race,RACE,OR,West,Pacific,African-American,1,N/A,N/A
2012,Vote by Race,RACE,OR,West,Pacific,Latino,4,N/A,N/A
2012,Vote by Race,RACE,OR,West,Pacific,Asian,3,N/A,N/A
2012,Vote by Race,RACE,OR,West,Pacific,Other,4,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,OR,West,Pacific,White Men,43,51,46
2012,Vote by Gender and Race,SEXBYRACE,OR,West,Pacific,White Women,46,57,42
2012,Vote by Gender and Race,SEXBYRACE,OR,West,Pacific,Black Men,0,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,OR,West,Pacific,Black Women,0,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,OR,West,Pacific,Latino Men,2,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,OR,West,Pacific,Latino Women,2,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,OR,West,Pacific,All Others,6,N/A,N/A
2012,Vote by Ideology,PHIL3,OR,West,Pacific,Liberal,32,90,6
2012,Vote by Ideology,PHIL3,OR,West,Pacific,Moderate,37,58,40
2012,Vote by Ideology,PHIL3,OR,West,Pacific,Conservative,31,13,85
2012,Vote by Party ID,PARTY,OR,West,Pacific,Democratic,36,92,7
2012,Vote by Party ID,PARTY,OR,West,Pacific,Republican,27,6,92
2012,Vote by Party ID,PARTY,OR,West,Pacific,Independent,36,52,43
