2012	Vote by Gender	SEX	NJ	Northeast	Middle Atlantic	Men	47	55	43
2012	Vote by Gender	SEX	NJ	Northeast	Middle Atlantic	Women	53	62	38
2012	Vote by Age	AGE	NJ	Northeast	Middle Atlantic	18-29	16	63	36
2012	Vote by Age	AGE	NJ	Northeast	Middle Atlantic	30-44	24	59	40
2012	Vote by Age	AGE	NJ	Northeast	Middle Atlantic	45-64	45	60	39
2012	Vote by Age	AGE	NJ	Northeast	Middle Atlantic	65 and Older	15	48	52
2012	Vote by Age	AGE65	NJ	Northeast	Middle Atlantic	18-24	8		
2012	Vote by Age	AGE65	NJ	Northeast	Middle Atlantic	25-29	8		
2012	Vote by Age	AGE65	NJ	Northeast	Middle Atlantic	30-39	14		
2012	Vote by Age	AGE65	NJ	Northeast	Middle Atlantic	40-49	21	66	34
2012	Vote by Age	AGE65	NJ	Northeast	Middle Atlantic	50-64	34	57	41
2012	Vote by Age	AGE65	NJ	Northeast	Middle Atlantic	65 and Older	15	48	52
2012	Vote by Race	RACE	NJ	Northeast	Middle Atlantic	White	67	43	56
2012	Vote by Race	RACE	NJ	Northeast	Middle Atlantic	African-American	18	96	4
2012	Vote by Race	RACE	NJ	Northeast	Middle Atlantic	Latino	10		
2012	Vote by Race	RACE	NJ	Northeast	Middle Atlantic	Asian	3		
2012	Vote by Race	RACE	NJ	Northeast	Middle Atlantic	Other	2		
2012	Vote by Gender and Race	SEXBYRACE	NJ	Northeast	Middle Atlantic	White Men	35	44	54
2012	Vote by Gender and Race	SEXBYRACE	NJ	Northeast	Middle Atlantic	White Women	32	42	58
2012	Vote by Gender and Race	SEXBYRACE	NJ	Northeast	Middle Atlantic	Black Men	6		
2012	Vote by Gender and Race	SEXBYRACE	NJ	Northeast	Middle Atlantic	Black Women	12	96	4
2012	Vote by Gender and Race	SEXBYRACE	NJ	Northeast	Middle Atlantic	Latino Men	4		
2012	Vote by Gender and Race	SEXBYRACE	NJ	Northeast	Middle Atlantic	Latino Women	6		
2012	Vote by Gender and Race	SEXBYRACE	NJ	Northeast	Middle Atlantic	All Others	5		
2012	Vote by Ideology	PHIL3	NJ	Northeast	Middle Atlantic	Liberal	27	89	10
2012	Vote by Ideology	PHIL3	NJ	Northeast	Middle Atlantic	Moderate	48	60	39
2012	Vote by Ideology	PHIL3	NJ	Northeast	Middle Atlantic	Conservative	25	22	76
2012	Vote by Party ID	PARTY	NJ	Northeast	Middle Atlantic	Democratic	44	95	5
2012	Vote by Party ID	PARTY	NJ	Northeast	Middle Atlantic	Republican	26	11	88
2012	Vote by Party ID	PARTY	NJ	Northeast	Middle Atlantic	Independent	30	48	49
2012	Vote by Education	EDUC10	NJ	Northeast	Middle Atlantic	No High School	3		
2012	Vote by Education	EDUC10	NJ	Northeast	Middle Atlantic	High School Graduate	18	50	46
2012	Vote by Education	EDUC10	NJ	Northeast	Middle Atlantic	Some College	27	56	44
2012	Vote by Education	EDUC10	NJ	Northeast	Middle Atlantic	College Graduate	32	59	40
2012	Vote by Education	EDUC10	NJ	Northeast	Middle Atlantic	Postgraduate	19	67	33
2012	Are You a College Graduate?	EDUCCOLL	NJ	Northeast	Middle Atlantic	Yes	51	62	37
2012	Are You a College Graduate?	EDUCCOLL	NJ	Northeast	Middle Atlantic	No	49	55	43
2012	Did You Attend College?	EDUCHS	NJ	Northeast	Middle Atlantic	Yes	79	60	40
2012	Did You Attend College?	EDUCHS	NJ	Northeast	Middle Atlantic	No	21	55	42
2012	Vote by Income	INCOME3	NJ	Northeast	Middle Atlantic	Less Than $50K	26	63	36
2012	Vote by Income	INCOME3	NJ	Northeast	Middle Atlantic	$50-100K	35	55	45
2012	Vote by Income	INCOME3	NJ	Northeast	Middle Atlantic	$100K or More	38	61	38
2012	Vote by Income	INC50K	NJ	Northeast	Middle Atlantic	Less Than $50K	26	63	36
2012	Vote by Income	INC50K	NJ	Northeast	Middle Atlantic	$50K or More	74	58	41
2012	Vote by Income	INC100K	NJ	Northeast	Middle Atlantic	Less Than $100K	62	58	41
2012	Vote by Income	INC100K	NJ	Northeast	Middle Atlantic	$100K or More	38	61	38
2012	How Often Do You Attend Religious Services?	ATTEND	NJ	Northeast	Middle Atlantic	More Than Weekly	12		
2012	How Often Do You Attend Religious Services?	ATTEND	NJ	Northeast	Middle Atlantic	Weekly	28		
2012	How Often Do You Attend Religious Services?	ATTEND	NJ	Northeast	Middle Atlantic	Monthly	18		
2012	How Often Do You Attend Religious Services?	ATTEND	NJ	Northeast	Middle Atlantic	Few Times a Year	28		
2012	How Often Do You Attend Religious Services?	ATTEND	NJ	Northeast	Middle Atlantic	Never	14		
2012	How Often Do You Attend Religious Services?	ATTEND2	NJ	Northeast	Middle Atlantic	Weekly	39		
2012	How Often Do You Attend Religious Services?	ATTEND2	NJ	Northeast	Middle Atlantic	Occasionally	46		
2012	How Often Do You Attend Religious Services?	ATTEND2	NJ	Northeast	Middle Atlantic	Never	14		
2012	Vote by Religion	REL5	NJ	Northeast	Middle Atlantic	Protestant	36	53	45
2012	Vote by Religion	REL5	NJ	Northeast	Middle Atlantic	Catholic	48	45	53
2012	Vote by Religion	REL5	NJ	Northeast	Middle Atlantic	Jewish	3		
2012	Vote by Religion	REL5	NJ	Northeast	Middle Atlantic	Other	5		
2012	Vote by Religion	REL5	NJ	Northeast	Middle Atlantic	None	8		
2012	Vote by Religion and Race	WHITEREL	NJ	Northeast	Middle Atlantic	White Protestant	21		
2012	Vote by Religion and Race	WHITEREL	NJ	Northeast	Middle Atlantic	White Catholic	40		
